,Job_title,Company_name,Location,Salary,Job_Description
26,Test Engineer,Bluefruit Software,Redruth,"£22,716 a year","Software Test Engineer
Salary: £22,715.80 (rising to £23,923.60 after successful completion of probation period)
About the role
Test Engineers work directly with our Software Engineers providing a continuous and effective testing service. This includes report writing, defect reporting and rapid, effective feedback to the team.
We are looking for methodical and passionate Software Test Engineers who will work as a critical part of our software teams, ensuring we deliver high-quality code.
Bluefruit needs people who are enthusiastic, meticulous, able to follow instructions, and have an attention to detail. You should be curious, able to work as part of a team, proactive, able to write clear and concise reports, have a desire to learn and looking for a technically challenging workplace full of intelligent, friendly people.
About You
You are fascinated by technology, enjoy taking things apart to find out how they work, and you are curious and meticulous. You appreciate quality and get excited about things that are well built and you are not afraid to point out when things aren’t quite working to their best.
Formal academic qualifications are not required but a keen interest in either Computing or Electronics would be highly beneficial.
About Bluefruit
Bluefruit Software is a world leading embedded software company, widely regarded for the quality of our code and our Lean-Agile practices.
The company was set up by engineers and we’ve worked hard to create an environment where programmers can thrive. We believe in regular feedback loops and a strong understanding of our client’s software requirements. We use a wide variety of constantly evolving processes to ensure that projects run smoothly and efficiently. This includes using Test-Driven Development (TDD) and Behaviour-Driven Development (BDD) to write code.
Working at Bluefruit
We are a growing embedded software company based in the heart of Cornwall. At Bluefruit, we don’t just say “work-life-balance”, we actively encourage it, with our focus on flexitime, not overtime. Listening and discovery are a part of our culture and we are committed to providing a work environment that encourages learning and development for all colleagues. We take employee health and wellbeing very seriously with a number of employee support schemes in place.
Some of the other benefits of working at Bluefruit:
· Regular salary reviews
· 25 days holiday (plus bank holidays)
· Flexitime available
· Great maternity and paternity leave benefits
· Employee Assistance Programme (EAP)
· Simply Health Cash Back Scheme
· Free access to a financial planner
· Free on-site parking
· Onsite café
· Free onsite gym
· Free weekly yoga class
· Chill-out room with pool table
· Free fruit, tea, coffee, and espresso machine
· Company social and culture guilds
· Cycle to work scheme
Sound good?
Send us your CV today and we will send you a quick Product Test exercise.
We use non-biased recruitment practices to hire based on skill and potential. We ask anyone interested in a role to complete a product test exercise that is anonymised to avoid bias. From the results of the exercise we get a better idea of skill levels and potential. We then select people to join us for an interview and skills assessment.
Want to learn more about us? Have a look at our website or find us on Facebook.
Please note, we are only able to consider applicants with the right to work in the UK.
Closing date: Friday 26th June 2020
Benefits:
Flexible working hours
Profit sharing/share options
Application deadline: 26/06/2020
Job Types: Full-time, Part-time, Permanent
Salary: £22,715.80 /year
Schedule:
Monday to Friday
Work remotely:
Temporarily due to COVID-19"
27,Machine Learning Engineer,Migacore Technologies,London,"£35,000 - £60,000 a year","Are you interested in natural language understanding, predictive model building, structured graph mining, or applied machine learning? As a Machine Learning Engineer at Migacore Technologies, you will be responsible for building state-of-the-art predictive models, end to end. You will have wide latitude to experiment with feature extraction, model design, as well as system evaluation. There are many open-ended questions yet to be answered, and lots of opportunities to make a lasting impact on our product.

Requirements
BSc, MSc, or PhD in Computer Science, Software Engineering, or equivalent experience in another quantitative field.
Strong understanding of machine learning techniques and algorithms.
Hands-on experience designing, building, and evaluating predictive models.
Proficiency in Python preferred. Java/C++/Go/Ruby experience is also welcome.
Bonus points for strong understanding of natural language processing techniques and algorithms.
Bonus points for familiarity with TensorFlow, PyTorch, or Keras.
Bonus points for experience building and deploying products that include a web-based user interface.
Experience with data visualisation tools, such as D3.js, GGplot, etc.
Proactive and excited to tackle open-ended problems independently.
Statistical thinking.
Strong attention to detail.


What we offer
Competitive salary.
Great working environment.
A stake in the business.
A critical position in a high-growth machine learning startup.
The chance to move fast, deploy often, and have a real impact on the product.
The chance to learn and grow extremely fast.
Pension plan.
Cycle to Work Scheme.
Conference and self-development budget including travel.
Skills: Python, Machine Learning, D3.js, Keras, TensorFlow
Compensation: £35K - £60k
Equity: 0.3% - 1.5%
Location: London, UK
Job Type: Full Time, Permanent
Start Date: Immediate
If you're interested in what we're working on, please send george@migacore.com your CV and a short note on something you're passionate about."
28,Machine Learning Engineer,Ultraleap Ltd.,Bristol,NaN,"We are looking for an experienced and motivated top-level Machine Learning Engineer for our spatial tracking team in the UK which is focused on developing new ways for humans and machines to interact.

Responsibilities

Research, code and deliver alongside our product and engineering team to test and release new hand-tracking features to our users worldwide;
Apply mathematical techniques (geometry, linear algebra, numerical methods), machine learning and artificial intelligence techniques to improve spatial tracking;
Optimise models to satisfy performance criteria, including mapping to software on various platforms;
Participate in high quality processes including reviews, test, verification, and process improvement.

Experience and Skill-Set

An MSc or PhD in a quantitative field of STEM, Computer Science or Engineering with a focus on Machine Learning or industry experience in Machine Learning related work;
Strong experience in applied mathematics, algorithm design and performance optimisation;
Excellent coding and software development skills including Python and Tensorflow /Keras;
Experience with any physics simulator, video game physics or computer graphics is a plus;
Motivated, energetic and ready to own challenges.

General Information

You must be authorised to work in the UK
This position reports into the Tracking Team Lead;
This position is based in Bristol, UK;
Occasional international travel may be required;"
29,Machine Learning Engineer Internship (6 months) 2020,CGG Services (UK) ltd,Crawley,NaN,"Company Description

A Technology Company with a Passion for Innovation

CGG is a pioneering Technology Company providing world-class fully integrated Geoscience services within the global energy sector. We employ in excess of 5,300 people worldwide, who bring a unique blend of talent and energy through working together to deliver unrivalled innovative solutions to our customers.

Through our cutting-edge Technology in Geoscience and customer focus, we have achieved outstanding leadership with a strong focus on innovation and a commitment to delivering the best sustainable solutions to our clients' energy challenges. We bring our clients a unique range of technologies and services, designed to generate stunning 3D images, geological data and remote sensing information of the Earth’s subsurface structures.
Job Description

Become Part of our Team

We are looking for experienced and talented individuals to join our largest European centre, based in South-East England, operating across a diverse global market with high profile international customers.

As a Machine Learning engineer, you’ll play a vital role in the continual development of our processing and imaging techniques. You will work closely with researchers, the software development group and the scientists in our seismic imaging teams to implement deep learning solutions. You will be working with our Geoscientists to validate the potential opportunities for machine learning techniques, prepare data for training and testing, designing the model, training the model and deploying in production. As an integral member of our imaging team, we highly encourage the contribution of ideas and drive in the generation of new concepts, to maintain our outstanding leadership position for technology and service delivery in the market place.
Qualifications

You are likely to be working towards a PHD degree or have completed an MSc in any of the following disciplines but a combination of education and experience will be considered;

Computer Science, Mathematics, Physics or similar."
30,Senior Data Scientist / Machine learning engineer,Peanut,London W1T,NaN,"About us
We created Peanut with the idea that no one should have to navigate womanhood alone. Especially the hard parts. Our mission is to provide a social network for women to connect across fertility and motherhood. So far, over 1 million women have joined to build friendships, find support, and learn from one another.

Since 2017, we've grown quickly across the US and other countries, and received numerous accolades from Apple, the New York Times, Good Morning America, and the BBC to name a few.
We recently closed our $17M Series A round and are backed by market-leading VCs including EQT Ventures, Index Ventures, Female Founders Fund and Sweet Capital (the brains behind King.com), enabling us to grow our team… now is a great time to join!
Responsibilities and role
This is a full-time position. You'll report to Julien, our CTO, and work within our Engineering team of 14 people.
We'll expect you to design, build, and ship:
Natural language engines based on user-generated content, such as
Keyword/tag suggestion
Content classification
Sentiment analysis
Machine learning engines, such as
Learning-to-rank ""matching"" user profiles
Recommending content to users
As well as contribute to data analysis:
Identify patterns, correlations, and causes to user behaviour
Generally, support product intelligence and deliver insights to help guide our roadmap
Location
As our CTO works remotely, and many of the team do, we are entirely flexible about whether you would like to work remotely (from anywhere in the UK or the rest of the EU), or in central London, at our vibrant Peanut HQ.
We'll simply expect you to join us in person for a few days every months to socialise and plan as a team.
Compensation
Depending on experience and location,
£70,000 to £80,000 gross salary per year (or local equivalent)
Participation in our equity pool
We offer 20 days holidays plus UK bank holidays.

Your experience
You have:
been a data scientist or software engineer for 5+ years
significant experience with NLP toolkits, e.g. NLTK
experience with building machine learning models, e.g. Scikit-Learn or Pytorch
become very comfortable manipulating large datasets
a solid statistics background.
While these are not requirements, we'll be excited if you've also:
Can write SQL fluently.
Have experience programming in Ruby.
Worked on any mobile product in the social or gaming area.
Your profile
Your moral compass is strong : you care about what's best for our users.
Your are pragmatic and creative : you can find viable ways to build what is needed. You balance clear code with delivery speed, and favour shipping quickly over perfection.
You work well in a team. You can pitch your ideas, sometimes disagree and commit, and are equally happy to deliver on your own or pair up on a problem.
You thrive in a lean environment. You're keen to prioritise, compromise, ship quickly, measure and iterate.
You favour data-driven product decisions but don't shy away from intuition and opinions.
You are comfortable picking up new skills and learning new tools when needed.
Diversity & inclusiveness
Peanut is committed to hiring people with different backgrounds and experiences. It helps us build a better product, make better decisions and better help our users. We’re committed to building a workforce that’s as diverse as the community of users who love Peanut! So, we welcome everyone to our team.
If you need reasonable accommodation at any point in the application or interview process, please let us know.In your application, please feel free to note which pronouns you use (For example - she/her/hers, he/him/his, they/them/theirs, etc)."
31,Machine Learning Engineer - 2020 Programme,CGG,Crawley,NaN,"A Technology Company with a Passion for Innovation
CGG is a pioneering Technology Company providing world-class fully integrated Geoscience services within the global energy sector. We employ in excess of 5,300 people worldwide, who bring a unique blend of talent and energy through working together to deliver unrivalled innovative solutions to our customers.
Through our cutting-edge Technology in Geoscience and customer focus, we have achieved outstanding leadership with a strong focus on innovation and a commitment to delivering the best sustainable solutions to our clients' energy challenges. We bring our clients a unique range of technologies and services, designed to generate stunning 3D images, geological data and remote sensing information of the Earth’s subsurface structures.
Job Description
Become Part of our Team
We are looking for experienced and talented individuals to join our largest European centre, based in South-East England, operating across a diverse global market with high profile international customers.
As a Machine Learning engineer, you’ll play a vital role in the continual development of our geoscience analytic techniques. You will work closely with researchers, the software development group and the scientists in our geoscience teams to implement machine learning and deep learning solutions. You will be working with our Geoscientists to validate the potential opportunities for machine learning techniques, prepare data for training and testing, designing the model, training the model and deploying in production. As an integral member of our team, we highly encourage the contribution of ideas and drive in the generation of new concepts, to maintain our outstanding leadership position for technology and service delivery in the market place.
Qualifications
You are likely to be educated to a PHD degree level in any of the following disciplines but a combination of education and experience will be considered; Computer Science, Mathematics, Physics or similar.
Additional Information
Learning and Development
Our culture of learning and complementary approach to supported or self-guided career development, enables the design of tailored courses to suit specific needs of each individual to aid personal growth in areas related to technical, commercial and personal skills, via an extensive suite of CGG developed courses, managed through our own CGG University platform.
Benefits Package
Competative starting salary.
Highly attractive bonus scheme
Initially 22 days holiday with future increases, complemented by a flexible buying and selling holiday program
Company contributory pension plan
Accommodation assistance program
Flexible Private Medical & Dental care programs, tailored to suit individual or family needs
Employee Assistance Program to support our staff
We Care about our Staff and Environment
We recognise the importance of work life balance for our employees, which is supported through our flexible working and relaxed dress code policies.
We recognise and actively support the wellbeing of our staff through many different initiatives;
Onsite exercise classes and promoting active lifestyles
Our restaurant, offering great food and a highly effective social and work space
Regular social club events, spontaneous reward events throughout the year
Many discounts schemes, including Gym membership and a cycle purchase scheme
We encourage and actively support a strong sense of community, through volunteering and various company initiatives, as well as a strong company commitment to protecting our environment through sustainable solutions, energy saving and waste reduction enterprises.
I'm interested"
32,Data Science - Machine Learning Research,causaLens,London,NaN,"Summary
We are looking for a motivated and high-achieving Data Science - Machine Learning Research based in London to join the team working on our exciting machine learning product. This is a full-time placement with significant opportunities for personal development.
We offer an intellectually stimulating environment, work within an interdisciplinary team and an inclusive culture. We are a high-calibre, mission-driven team building a technology that improves our world.
The Company
causaLens is pioneering a completely new approach to time-series prediction. Its Enterprise Platform is used to transform and optimise businesses that need accurate and robust predictions – including significant businesses in finance, IoT, energy and telecoms. Almost all current machine learning approaches, including AutoML solutions, severely overfit on time-series problems and therefore fail to unlock the true potential of AI for the enterprise. causaLens was founded with the mission to devise Causal AI, which does not overfit, and so provides far more reliable and accurate predictions. The platform also includes capabilities such as autonomous data cleaning and searching, autonomous model discovery and end-to-end streaming productisation.
causaLens is on a mission to build truly intelligent machines that go beyond current machine learning approaches - a curve-fitting exercise. Devising Causal AI has allowed us to teach machines cause and effect for the first time - a major step towards true AI.
causaLens is run by scientists and engineers, the majority holding a PhD in a quantitative field. For more information visit www.causaLens.com. Follow us on LinkedIn and Twitter.
causaLens in the News
Best Deeptech Company 2019 - Artificial Intelligence Awards
‘Meet causaLens, a Predictive AI For Hedge Funds, Banks, Tech Companies’ – Yahoo Finance
‘The U.K.’s Most Exciting AI Startups Race To Scale’ - Forbes
‘Auto ML Platform Draws Interest from Discretionary Funds’ - machineByte
‘AllianzGI Taps Virtual Data Scientists amid War for Talent’ - Financial Times
‘Machine Learning Companies to watch in Europe’ - Forbes
‘Best Investment in Deeptech’ award - UK Business Angels Association awards
‘100 Most Disruptive UK Companies’ - Hotwire
‘causaLens Appoints Hedge Fund Veteran and Data Leaders to Advisory Board’ - Newswire
Roles and Responsibilities
This is an exciting role for a smart, creative person to focus on Machine Learning Research in a group of researchers working on Causality & Blue Sky Research.
Benefits
The opportunity to join a fast-growing, agile, and international team passionate about innovation and making a difference
Competitive remuneration
Share option scheme
Pension scheme
32 days paid holiday allowance (incl. bank holidays)
Equipment you need to get the job done (MacBook Pro etc.)
Good work-life balance
Opportunities for continued learning and self-development, including courses, conferences and book budget
Flexible work-from-home and remote days
Cycle to work scheme
Weekly journal club and knowledge sharing presentations
Regular team outings, pizza Thursdays and annual company retreats
Fruits, snacks and soft drinks in the office
Amazing, smart, fun and inspiring colleagues, always there to support your ideas, growth and enthusiasm
Logistics
Our interview process consists of a couple of online interviews and an on-site visit. We will do our best to transparently communicate the process with the successful candidates.
Job requirements
This role is open for candidates of all seniorities, junior to senior.
PhD research and experience in Machine Learning or related field is necessary
Creativity and ability to come up with ideas to tackle very hard problems and design/implement cutting edge solutions
Very advanced quantitative skills in machine learning/statistics/mathematics or similar fields
Ability to translate advanced machine learning algorithms into code (Python preferred)
Highly capable, self-motivated, collaborative and personable
Ability to demonstrate integrity and drive
Naturally curious and effective problem solver
An excellent written and verbal communicator with a high level of business acumen
Ability to effectively work independently in a fast-moving environment
Benefits:
Work from home opportunities
Job Types: Full-time, Permanent"
33,Director of Causality and Blue Sky Research,causaLens,London,NaN,"Summary
We are looking for a motivated and high-achieving Director of Causality and Blue Sky Research based in London to join the team working on our exciting machine learning product. This is a full-time placement with significant opportunities for personal development.
We offer an intellectually stimulating environment, work within an interdisciplinary team and an inclusive culture. We are a high-calibre, mission-driven team building a technology that improves our world.
The Company
causaLens is pioneering a completely new approach to time-series prediction. Its Enterprise Platform is used to transform and optimise businesses that need accurate and robust predictions – including significant businesses in finance, IoT, energy and telecoms. Almost all current machine learning approaches, including AutoML solutions, severely overfit on time-series problems and therefore fail to unlock the true potential of AI for the enterprise. causaLens was founded with the mission to devise Causal AI, which does not overfit, and so provides far more reliable and accurate predictions. The platform also includes capabilities such as autonomous data cleaning and searching, autonomous model discovery and end-to-end streaming productisation.
causaLens is on a mission to build truly intelligent machines that go beyond current machine learning approaches - a curve-fitting exercise. Devising Causal AI has allowed us to teach machines cause and effect for the first time - a major step towards true AI.
causaLens is run by scientists and engineers, the majority holding a PhD in a quantitative field. For more information visit www.causaLens.com. Follow us on LinkedIn and Twitter.
causaLens in the News
Best Deeptech Company 2019 - Artificial Intelligence Awards
‘Meet causaLens, a Predictive AI For Hedge Funds, Banks, Tech Companies’ – Yahoo Finance
‘The U.K.’s Most Exciting AI Startups Race To Scale’ - Forbes
‘Auto ML Platform Draws Interest from Discretionary Funds’ - machineByte
‘AllianzGI Taps Virtual Data Scientists amid War for Talent’ - Financial Times
‘Machine Learning Companies to watch in Europe’ - Forbes
‘Best Investment in Deeptech’ award - UK Business Angels Association awards
‘100 Most Disruptive UK Companies’ - Hotwire
‘causaLens Appoints Hedge Fund Veteran and Data Leaders to Advisory Board’ - Newswire
Roles and Responsibilities
This is an exciting role for a smart, creative person with a strong technical background to lead our Causality and Blue Sky Research efforts. You work will include:
Provide technical and strategic leadership and drive the agenda across the organisation.
Lead and manage team of research data scientists to achieve research outcomes
Coordinating the writing of academic papers, patents and grants
Benefits
The opportunity to join a fast-growing, agile, and international team passionate about innovation and making a difference
Competitive remuneration
Share option scheme
Pension scheme
32 days paid holiday allowance (incl. bank holidays)
Equipment you need to get the job done (MacBook Pro etc.)
Good work-life balance
Opportunities for continued learning and self-development, including courses, conferences and book budget
Flexible work-from-home and remote days
Cycle to work scheme
Weekly journal club and knowledge sharing presentations
Regular team outings, pizza Thursdays and annual company retreats
Fruits, snacks and soft drinks in the office
Amazing, smart, fun and inspiring colleagues, always there to support your ideas, growth and enthusiasm
Logistics
Our interview process consists of a couple of interviews and an on-site visit. We will do our best to transparently communicate the process with the successful candidates.
Job requirements
Strong academic record (PhD or PostDoc)
Previous experience leading research projects is a plus
Advanced quantitative skills in machine learning/statistics/mathematics or similar fields
Strong coding skills. Preferably in Python
Highly capable, self-motivated, collaborative and personable
High integrity and drive
Naturally curious and effective problem solver
Ability to effectively work independently in a fast-moving environment
Job Types: Full-time, Permanent
Experience:
research: 3 years (Required)
Education:
PhD (Required)"
34,Trainee Rail Track Operative,Direct Tools Supplies,Birmingham,£9.25 - £13.25 an hour,"Do you want a career working in rail infrastructure?
The purpose of the role:
You will be learning from our expert team while assisting on daily rail track maintenance operations, such as, sleeper changes, rail changes, assisting maintenance schedules, stressing, and track Inspections.
We will help you gain the skills and industry training you need for this challenging role.
This is a manual job, therefore you must be physically fit and able to pass a medical.
We are looking for candidates who are:
Reliable and punctual at all times and willing to learn
Good communicator and have the ability to follow instructions
A good awareness of safety
Can work effectively as part of a team or as an individual
Can work under pressure and meet deadlines
Practically minded
The benefits working with us:
Working and training with us you will gain:
Real-life work experience within the Rail Infrastructure
Relevant Industry Training, prior to employment to successful completion and selection of the rail pre-employment training (Traineeship), such as, Personal Track Safety (PTS), Track Induction (TIC), Industry Common Induction (ICI)
OLEC 1
Powered Plant Competencies (Rail Saw, Impact Wrench, Generator etc.)
Industry Drugs and Alcohol screening
Industry Medical
Emergency First Aid at work
Furthermore, we can help with English and Maths (if you need it)
*
Upskill in Industry:
Controller of site safety (COSS)
Engineering Supervisor (ES)
Crane Controller (CC)
Machine Controller (MC)
Stressing Engineer
Handback Engineer
Job Types: Full-time, Contract
Salary: £9.25 to £13.25 /hour
Work remotely:
Temporarily due to COVID-19"
35,Electrical Design and Project Engineer - LV Power Distribution,STFC,Didcot,NaN,"Organisation
STFC

Organisation Detail
Science and Technology Facilities Council

Reference Number
IRC252790

Location
Didcot See on Map

Salary
£33782 - £37459

Date Posted
21 May 2020

Grade
UKRI-Band D

Contract Type
Open Ended

Hours
Full Time

Closing Date
21 June 2020

Interview Date

Apply Now



Description
Job Requirements
Additional Details
How to Apply


Brief Description

Salary: £33,782 - £37,459 (dependent on qualifications and experience and inclusive of role-based allowance)
Grade: D
Contract Type: Open-Ended
Hours: Full Time
Closing Date: 21st June 2020

Background
The Science and Technology Facilities Council (STFC) brings strategic leadership to UK investments in large national and international research facilities, together with delivering world-class science and technology. The Council is involved in some of the world’s most advanced facilities, such as ISIS
ISIS is a world-leading source of pulsed neutrons and muons located at the Rutherford Appleton Laboratory, near Oxford. The facility performs cutting edge research into the structure and properties of materials at an atomic and molecular level
A wide variety of electrical engineering systems are used across the ISIS facility. These include single and three phase low voltage (LV) power distribution, high voltage (HV) power supplies, analog and digital signal and control, PLC and relay based alarm and control, radio-frequency power, vacuum control, multi-axis motion control, personnel protection and machine safety
There is now an opportunity for an experienced electrical design and project engineer specializing in the field of low voltage (LV) power distribution to join the ISIS Design Division
You will work closely with fellow engineers and scientists to provide bespoke and optimized LV electrical distribution systems meeting both BS7671:2018 Requirements for Electrical installations (18th edition wiring regulations) and safety requirements of the Electricity at Work regulations 1989.
About the role
As part of ISIS Design Division Electrical (IDDE) group, you will be responsible for the design, project management and delivery of BS7671:2018 compliant low voltage (LV) electrical supply and distribution systems for the ISIS facility
The scope of work will include provision of top level electrical engineering expertise, engineered solutions, design level upgrades and production of new electrical distribution equipment
Work packages need to adhere to structured project management techniques encompassing the full lifecycle i.e. concept, detail design, procurement, manufacture, installation, commissioning, operation and eventually decommissioning.
Key duties:
Full lifecycle, bespoke electrical power distribution solutions to BS7671:2018 standards
Production of associated technical design documentation using Amtech Pro software
Production of technical drawings using AutoCAD electrical
Presentation of engineering designs for peer and stakeholder review
Provision of top level electrical engineering design analysis and expertise to ISIS
Production of design risk assessments to maintain ALARP levels of facility safety
Production of budget estimates, project programs and documentation for future work packages
Management of tendering, procurement and delivery of approved designs
Direct Project Management of assigned projects and work packages
On site work to facilitate integration of new designs into existing site supply and distribution infrastructure.
Additional duties:
This role focusses on the LV electrical power distribution aspects of the IDDE work program.
However, with such a wide and diverse scope, all IDDE Engineers also have the opportunity to use their electrical design skills to contribute to existing and new projects in the following areas:
PLC and relay based control systems for vacuum, water, heating, ventilation and air conditioning (HVAC)
PLC and relay based personnel protection systems (PPS).

Organization Description

UK Research and Innovation is a new entity that brings together nine partners to create an independent organisation with a strong voice for research and innovation, and a vision to ensure the UK maintains its world-leading position in research and innovation. More information can be found at www.ukri.org.
The Science and Technology Facilities Council is a world-leading multi-disciplinary science organisation, and our goal is to deliver economic, societal, scientific and international benefits to the UK and its people – and more broadly to the world.
Criteria will be assessed through shortlisting (S), at Interview (I) or both (S&I)
Qualifications (S)
Essential:
Degree or equivalent in an appropriate Electrical Engineering discipline
BS7671:2018 18th edition wiring regulations City & Guilds qualification.
or
HNC/HND or equivalent in an appropriate Electrical Engineering discipline, combined with significant and relevant experience of LV electrical power distribution design and project management
BS7671:2018 18th edition wiring regulations City & Guilds qualification.
Desirable:
IET member or associate member
Formal project management qualification
Formal safety qualification e.g. NEBOSH or IOSH
Knowledge and experience (S&I).
Essential:
Demonstrable experience in BS7671 compliant electrical power distribution design
Knowledge of BS7671 compliant cabling and industry best practice electrical manufacturing and installation techniques
Proficient user of AutoCAD and associated technical document management systems
Fully conversant with electrical circuit diagrams and 2D drawings
Experience of working on technical projects within a project environment
Proven capability for producing budget estimates, project programs and documentation
A good working knowledge of British and European electrical design and safety standards such as the IEC 61439 and Electricity at Work Regulations 1989
Experience in producing high quality electrical design engineering solutions to meet demanding technical and scientific requirements.
Trained and proficient in the use of Amtech Pro Design software.
Desirable:
Knowledge of earthing regimes and EMI/RFI mitigation design measures
Previous design and installation experience within a scientific facility
Project management skills, responsible for time, cost and specification control
Experience of designing for radiation environments
Experience of designing for high voltage environments
Experience in design risk assessments and installation method statements
Experience of design and installations under CDM regulations
Personal attributes (S&I)
Essential:
Good written and oral communication skills with staff at all levels
Systematic, methodical and organised approach to work
Strong self-motivation and good teamwork skills
Focus on delivering working, high quality solutions that meet required specifications.
Desirable:
Able to make infrequent and short overseas and UK visits as part of work and training
Experienced in managing teams of design engineers, technicians and contractors.
UKRI supports research in areas that include animal health, agriculture and food security, and bioscience for health which includes research on animals, genetic modification and stem cell research. Whilst you may not have direct involvement in this type of research, you should consider whether this conflicts with your personal values or beliefs.
To enable us to hire the very best people we will conduct a full and comprehensive pre-employment check as an essential part of the recruitment process on all individuals that are offered a position with UKRI. This will include a security check and an extreme organisations affiliation check.
Employee Benefits

UK Research and Innovation recognises and values employees as individuals and aims to provide a pay and reward package that motivates staff to the best of their ability. The reward and benefit package includes a flexible working scheme, an excellent Defined Benefit pension scheme, 30 days annual leave allowance and a number of other benefits.
Developing Talent

We are committed to developing employees in their roles throughout their career. Learning and development plans enable employees to continue their professional development through training and development opportunities such as e-learning, classroom training and on-the-job experiences. We encourage our employees to share their learning across teams and organisations.
Equal Opportunities

We strive to make decisions based on individual merit and ability. We welcome applications from all sections of the community and promote equality of opportunity in accordance with the Equality Act 2010. As holders of Disability Confident Employer status, we guarantee to interview all applicants with disabilities who meet the minimum criteria for the vacancy.
As this job does not fulfil the Home Office Code of Practice criterion for obtaining sponsored migrant worker status we will be unable to apply for sponsorship for anyone not eligible to work in the UK. At interview, all shortlisted candidates are required to bring with them identification documents and original documents that prove they hold or can obtain the right to work in the UK. You can check your eligibility here: https://www.gov.uk/check-uk-visa/y.
Online applications only. Please submit a covering letter and CV ensuring that the IRC reference is included in the filename description of each document uploaded. Please note that failure to address the above criteria or submitted without a covering letter may result in your application not being considered.
The closing date for applications is 21st June 2020, however early applications are encouraged as applicants will be reviewed and considered on an ongoing basis.
If you would like to receive this advert in an alternative format (e.g. large print, Braille, audio or hard copy), are unable to apply online or do not wish to create an account but would still like to apply for a specific role, please contact us by telephone on 01793 867000.
If you have not already logged into iRecruitment (including as a current employee) you will be re-directed to the login/register page by clicking the ""apply now"" button. If you don't have an account with us, by choosing to register you consent to UK SBS processing the information you provide as part of the Recruitment Service.
You can select appropriate job alerts and notifications as part of your account preferences, and you are able to close your account (withdraw consent) should you wish to do so. Before starting your online application and inputting your personal details, please read our Privacy Notice which contains full details of how your information is processed once you have made an application."
36,Field Service Engineer - Essex,Costa Limited,Romford,NaN,"Working for UK’s leading coffee brand, you will take responsibility for our Costa Express machines, carrying out repairs and maintenance to keep our equipment trading to the highest possible standards. You will have the chance to make a difference every day and take pride in supporting our valued partners. We offer market leading training to develop you, teach new skills and immerse you in the Costa way.
A bit about us...
At the heart of Costa Coffee are our values; we believe in Passion, Warmth, Trust and Courage. We are the No 1 coffee brand in the UK and as part of the Coca-Cola Company, we’re on a journey to be the worlds most loved coffee brand. We’ve come a long way from the Costa brothers first roastery in 1971, today we are a total coffee company that delivers great coffee to our consumers all over the globe. Costa are proud of our collaborative and inclusive workforce, who continually unlock new growth potential.
Here at Costa Express we have over 10,000 machines worldwide. Through our world leading innovation, we have revolutionised the coffee-on-the-go market. We aim to be trend setters, who exceed customer expectations. In a fun and friendly environment, our DNA is to challenge ourselves and be passionate about our legacy
A bit about the role...
Working as part of a dedicated field service team, you’ll have accountability of the Costa Express equipment in your region, carrying out a range of repair and preventative maintenance work. Some of the key responsibilities include:
Attend sites within an agreed SLA & complete Brand Standards checks
Diagnose faults, repair or replace equipment to Brand guidelines
Follow all documented processes to optimise machine reliability
Effective communication of issues, problems or solutions through escalation points
Adherence to Warranty and Returns procedures
Demonstrate first class customer service, driving warmth and loyalty in our partnerships
A bit about you…
To succeed with us here at Costa Express, it is important that you embrace our values and enjoy working with diverse and committed colleagues. In addition, we would look for the following:
Determination to keep our equipment operating as effectively and efficiently as possible
Ability to prioritise your workload in an organised and agile manner
Excellent planning and diary management skills
A natural problem solver, energised by curiosity, learning and continuous improvement
A real passion for customer satisfaction, and not settling for less than the best
Experience of testing and repairing service equipment
Basic electrical engineering and able to handle and work with a variety of different tools
Our Training…
It’s very important to us here at Costa Express that you receive the best possible training. Investing in our Field Service Engineers training is critical to our growth, both in in the UK and globally. We have a world class academy which delivers a 6 month program that showcases all of our fleet and immerses you in our Brand. Over your first 6 weeks, you will join our Technical Trainers and receive in depth training from calibrating our coffee, steaming the milk to diagnosing a fault and fully servicing our machines. You will be supported by our champions in the field and have a great digital platform with easy access to learn more. Over the 6 months you will have received all your modular training, be able to read our technical drawings, attend an industry standard forecourt training, Electrical Safety Training and of course our bespoke Health Safety Food & Wellbeing Training.

What we can offer...
We’re on an exceptional adventure and can offer a truly purpose led career. To get you started we will offer a salary of £28,000 along with a Costa Express van for your region. But that’s not all, we offer a full benefits package:
Flexibility in role – we are happy to consider job share/part time working
BUPA Healthcare
Costa Pension Scheme
Bonus Scheme
Staff discount
25 days Holidays
Location: Essex – RM/IG postcode
At Costa Express we celebrate Inclusion and Equality; we believe everyone should bring their true self to work. We advocate collaboration and transparency and embrace differences in all that we do. #nowisthemoment to join."
