,Salary_Average in $,Job_title,Company_name,Location,Job_Description,R_Skills,Java_Skills,SQL_Skills,Spark_Skills,Matlab_Skills,Tensorflow_Skills,NLP_Skills,Python_Skills,C++_Skills
51,63500.0,"Cloud Data Engineer (Java, Scala, Python, AWS)",TEC Partners,Norwich,"Job: Cloud Data/Software Engineer (Java, Scala, Python, AWS)
Location: Norwich
Salary: £45,000 - £55,000
Tec partners are working on a unique new requirement for a data biased software engineer with experience in an OOP language (Ideally Java or Scala) to work within a leading technology company in Norwich.
You’ll join a startup feel cloud technology business, with an excellent exec team, who are leading the way in within their field working closely with some of the most well-known brands. The business set for strong growth over the next few years further developing their cutting edge platforms using the latest in data techniques. The engineering team based in Norwich is a tight knit talented team working on exciting projects focused around complex large data-sets.
If you have experience with Java or Scala, or have a strong OOP background and a real passion for data, this could be a great opportunity to get your hands on some fantastic technology, and be part of a growing company’s journey.
Skills and experience we’d love to see:
- AWS Data products (EMR S3, Datapipeline)
- Spark / PySpark, SparkSQL, Spark Core
- Data modelling exposure
- ETL
- Yarn, Hadoop, MapReduce
- Linux, Jenkins, Maven
- Machine Learning principals
- Strong software engineering background (Ideally Java / Scala)
- Excellent coding standards and unit testing experience
Nice to have’s:
- Geospatial data
- Python
- Elastic Beanstalk and Lamba functions
- Data Engineering
- R
- NoSQL
This is a varied role for an experienced technology enthusiast. You’ll get the opportunity to work across a broad spectrum of software development within an Agile environment.
If you want to be part of something different, get access to the latest technologies, and help drive forward an evolving platform – we'd love to hear from you. For more information, please apply with a current CV or contact Tom Gosney at TEC Partners.
Reference ID: J3066
Job Types: Full-time, Permanent
Salary: £45,000.00 to £55,000.00 /year
Schedule:
Monday to Friday",0,1,1,1,0,0,0,1,0
52,107950.0,Lead Engineer - Python - Machine Learning,Linux Recruit,London,"Work in a bespoke Data Science and Machine Learning team for one of the most successful online and in-store retailers in the UK.

Alongside the Chief Data Scientist and a team of Data Scientists, Python and Cloud Engineers you will design and build business-critical Machine Learning platform designing and building a performant infrastructure which hosts complex algorithms covering over 20 million customer experiences.

60% of your time will be hands-on developing and architecting the product alongside your peers and the other 40% will focus on leadership, mentoring and team direction. This role is perfect for someone looking to remain hands-on while being a thought leader and influencer.

You'll definitely still be getting your hands dirty so whether you're an experienced Lead Engineer or a Senior Engineer looking for a step up, then you will have the resources to be successful.

The main technologies that are used in this team are Python, Docker and AWS in a serverless environment. Due to the nature of your role, you'll still be hands on the majority of the time and supporting the software engineers in the team to develop, so experience in Python Development and Cloud is essential.

It's important for this position that you have a forward thinking and modern agile mindset. Due to the nature of the team in the pairing of scientists and engineers, they embrace Xtreme programming with a heavy focus on continuous integration and test driven development, so if this is the way you like to promote working then you'll fit right in!

This is a really impressive project with a team all working collaboratively in achieving the same goal building one of the most exciting Machine Learning platforms. Sound like something you can't wait to get involved in? If so, then please get in touch with Alice for further details.",0,0,0,0,0,0,0,1,0
53,127000.0,Director of Engineering - Machine Learning,Oho Group,London,"Director of Engineering - Machine Learning / Data Science

Director of Engineering required for one of Europes most up and coming Machine learning start-ups. They have already gained significant notoriety in the Deep Learning space for their impressive platform. Despite the organisations age they have already reached a profitable status and are looking to grow substantially this year. You will be working with a world class team of 12 engineers, a mix of Machine Learning Engineers, Developers and Data Scientists. It is likely this team will at least double this year.

You will be looking to work with a cutting edge organisation working with some of the brightest minds in the world. This is an instrumental position for a talented and up and coming development manager or director of engineering.

Currently interviewing, please apply for further details",0,0,0,0,0,0,0,0,0
54,60325.0,Software Engineer,Migacore Technologies,London,"Can you design and build great products? As a software engineer at Migacore Technologies, you will be responsible for understanding the key factors that our users care about when they make decisions, and presenting the information they need in a fast, beautiful, and intuitive UI. You will work closely with the machine learning team to determine what models, predictions, or explanations are most relevant to users, and integrate them in the product. You will also work closely with the data engineering and machine learning teams to ensure that data sources are updated quickly and efficiently.
Our customers ultimately value is based on the quality of our product, so you will have a chance to meaningfully shape the direction of the company.

Requirements
BSc or MSc in Computer Science or Software Engineering, or equivalent experience.
Proficiency in JavaScript and web application development (familiarity with React.js and/or AngularJS preferred).
Experience with data visualisation tools, such as D3.js, GGplot, etc.
Experience with Python and Flask or Django preferred. Java/C++/Go/Ruby with web development experience is also welcome.
Working knowledge of structured and unstructured databases (we currently use PostgreSQL and MongoDB)
Bonus points for interest in or familiarity with machine learning, natural language processing, deep learning, or AI.
Proactive and excited with tackling open-ended problems.


What we offer
Competitive salary.
Great working environment.
A stake in the business.
A critical position in a high-growth machine learning startup.
The chance to move fast, deploy often, and have a real impact on the product.
The chance to learn and grow extremely fast.
Pension plan.
Cycle to Work Scheme.
Conference and self-development budget including travel.
Skills: Python, Javascript, MongoDB, PostgreSQL, Full Stack Development, Data Science, React.js
Compensation: £35K - £60k
Equity: 0.3% - 1.5%
Location: London, UK
Job Type: Full Time, Permanent
Start Date: Immediate
If you're interested in what we're working on, please send george@migacore.com your CV and a short note on something you're passionate about.",0,1,1,0,0,0,0,1,1
55,45720.0,Electrical Shift Engineer,Technique Recruitment Solutions,North,"Job Title: Electrical Biased Shift Engineer
Location: North walsham
Salary: 34-38k
Technique Solutions are pleased to be working on behalf of our clients, who are currently seeking a Electrically Biased Shift Engineer for their Facility in North Walsham this is a permanent role on both days and nights.
As an Electrically Biased Shift Engineer, you will be expected to be an expert in multi-skilled (Electrical and Mechanical) Engineering, be self-driven and develop others to analyse and deliver solutions in a timely target driven environment. As such you will be given an area of ownership to improve. Ideally suited to a 'hands on' Project Technician/ Lead Engineer with a proven track record in preferably a manufacturing environment.
Duties
* Analyse and Improve performance of area by machine reliability (analyse, design, implement)
* Analyse and Improve Performance of area by Performance improvements (analyse, design, implement)
* Project lead, in Scope, design and installation
* Manage critical spare parts for area of ownership and amend as required to prevent protracted breakdowns
* Development and implementation of quality effective maintenance routines.
* Procurement of contractor and Engineering items as required
* Create kitting lists in preparation for planned tasks
* Collate records to identify root causes and the MTBF
* Ensuring repairs, maintenance work and routine testing is carried out to the required standard
* Overseeing all auditable paper work to ensure it is completed accurately.
* Monitor and assist with the receiving and issuance of site/hot permits to work.
* Understand and support KPI improvements
* Lead a monthly RCA (Root Cause Analysis) meeting to identify trends and create improvement plans.
* Investigate and record hazards, risks and near misses
* Take responsibility for performance and decisions.
* Control emissions and waste to minimise environmental impact. Ensuring all environmental incidents are reported, fully investigated with actions to prevent reoccurrence.
* Adopt safe working practices and disciplines are adhered to.
* Challenge constructively existing ideas and practices.
* Mentoring of apprentices and subordinates where appropriate
* Continuous self-development with respect to, machinery, current trends, legislation and processes understanding.
* Effective communications between cross functional teams
* Development and implementation of quality effective maintenance routines.
* Ensure adherence to all business processes and procedures actively drive improvements that eliminate waste in the processes.
* Give constructive feedback in a way that drives performance and encourages commitment to achieving targets
* Actively encourage Team members to share knowledge and observations, ideas, improvements and best practices by supporting and encouraging team work and cascade learning to production and Engineering teams
Essential Qualifications:
* Time Served recognised apprenticeship either Electrical or Mechanical (Electrical bias advantageous)
* Numeracy and literacy skills
* Good IT Skills
* Management and/or Leadership skills
* PLC/Invertor control experience
* Mechanical experience- hydraulic, pneumatics, Pumps, and refrigeration an advantage
.Shift working 2 on 2 off, 3 on 2 off, 2 on 3 off rotating days and nights –
Technique Recruitment Solutions are a specialist engineering recruitment company based in Norfolk
Job Types: Full-time, Permanent
Salary: £34,000.00 to £38,000.00 /year
Experience:
food manufacturing: 1 year (Preferred)
Electrical Engineering: 3 years (Preferred)",0,0,0,0,0,0,0,0,0
56,114300.0,"C++ Developer - Risk, Machine Learning - London",Linux Recruit,London,"You will be joining a machine learning tech start up focused on risk modelling that is looking to triple in size over the next 12 months. As a Senior C++ Engineer you will be involved in the design and build of their risk platform, meaning daily hands-on coding, working on tech road maps, architecture, R&D and senior stakeholder discussions.

One of the appeals is that you are joining a group of very strong technologists. You'll work collaboratively with very clever people that work hard to get things done. You'll learn, discuss and pass on knowledge in a no ego, supportive environment.

From a tech point of view, your focus will be C++ but you will also get the chance to work with Python, JavaScript, AWS, k8s and risk concepts like Monte Carlo. You'll also be trusted to ensure your code is reliable, scalable and fast.

As a senior technologist in the company, you can also expect to do some mentoring and have a chance to build a team beneath you. Your experience doing this in previous roles would be beneficial but the team are equally interested in hearing from experienced engineers looking to take that step up.

If you've read this far, it's probably worth having a conversation with me to learn more. Get in touch with Tom Booth at LinuxRecruit, I'm keen to speak to anyone in this space and happy to share more information.",0,1,0,0,0,0,0,1,1
57,27940.0,Graduate Technical Support Engineer,Primaire Consulting Ltd,Leicester,"Graduate Technical Support Engineer
Reference: PW152
Industry: Automation
Location: Leicestershire
Salary: £Competitive
Job Description:
An excellent opportunity for a recently qualified graduate to join a well renowned Automation Business in Leicester. Full product training will be provided both internally and by equipment manufactures.
You will be trained to providing technical support on:
Machine Vision Software (Traditional & Deep Learning)
Machine Vision Cameras
Lenses
Equipment configuration software
Determining solutions to customer’s machine vision requirements
Providing demonstrations and product training
Requirements:
Degree qualified within one of the following subjects: Automation, Robotics, Electronics Engineering, Software Engineering
Ideally have experience of C++ and .Net
Be computer literate
Not all job details are advertised due to client confidentiality. For further information on the specified vacancy, please contact Paige Warburton on 0161 509 7673
Reference ID: PW152
Job Types: Full-time, Permanent
Salary: £22,000.00 /year
Experience:
Degree qualified within one of the above subjects: 3 years (Required)
knowledge of programming, in particular with C++: 3 years (Required)
Location:
Leicester LE8 (Required)
Work remotely:
No",0,0,0,0,0,0,0,0,1
58,101600.0,Lead Data Engineer,In 2 Consult,London,"LEAD DATA ENGINEER - LONDON - UP TO £85K - DATA MODELLING, DATA ACHITECHTURE, ETL PIPELINES, DATA MIGRATION

IN2 Consult are working with a rapidly growing organisation who are actively looking for a Lead Data Engineer to join their high preforming multi-disciplinary team. The ideal candidate must be familiar working in a customer led environment and have strong experience building analytic with multiple sources of data.

Technical Requirements
Experience with Google Big Query and Big Query Machine learning
SQL
Behaviour modelling
Looker
Must have worked on a real world data science project
Day to day
Promote best practice with data analytic's
Understanding how predictive analytic's can be leveraged to influence business processes and implement the data engineering strategy
Engaging with senior stakeholders
Own data modelling, data migration and data architecture
Work as part of a cross-functional team
Implement solutions to understand how better and external users preform
If this role sounds like a good fit for you apply now or contact me on 01184 660248

LEAD DATA ENGINEER - LONDON - UP TO £85K - DATA MODELLING, DATA ARCHITECTURE, ETL PIPELINES, DATA MIGRATION",0,0,1,0,0,0,0,0,0
59,92075.0,"Software Engineer: Speech Recognition, Python, AI",Understanding Recruitment,London,"We are currently looking for a Software Engineer: Python, NLP, London Office, to join our tier-one VC funded London based NLP / Machine Learning Research led startup.
As a Software Engineer / Developer you will be a part of a very dynamic and collaborative team who are building a next generation platform for voice-based agents. You will be an integral part of their vision as they draw on their industry-leading machine learning research to build a platform which handles complex tasks across different application domains, in a wide array of world languages.
We're not looking for people who come from a machine learning background at all - though a desire to be introduced to and learn ML technologies within their work would be a big advantage. Within the role, you will developing primarily in Python or Go (you do not need Go experience prior) with some exposure to front-end technologies. You will be hands-on and have ownership over your day to day working life.
What we can offer a Software Engineer: Speech Recognition, Python, AI:
Strong salary and package offered
Working with world leading Engineers in NLP and Software Engineering
Working in a self-led and start-up environment
Autonomy and flexible working available
Key Skills: Software Engineer: Speech Recognition, Python, AI; Python, PyTorch, C++, Py, TensorFlow, Cython, Full Stack, FullStack, Javascript, JS, React, Node.js, Software, Engineering, Development, Machine Learning, Programmer, TDD, Test Driven Development, Cloud, GCP, Google Cloud, AWS, Amazon Web Services, Artificial Intelligence, ML, AI, London, NLP, Natural Language Processing, Speech Processing",0,1,0,0,0,1,1,1,1
60,44450.0,Software Developer,Gear4music Tech,York,"Who we are
Gear4music is the largest retailer of musical instruments and equipment in the UK. Launched in 2003 by Chief Executive Officer Andrew Wass, our sales have grown quickly from £12M to £110M in the past 6 years. We’re not stopping there - we grew by more than 40% during the final four months of 2018!
Who we really are
Here in our technical hub, we really care about people. We want you to grow and develop with us in a fully open and supportive environment. We want to hear your ideas and for you to be yourself in an atmosphere that encourages people’s individual personalities to shine.
We pride ourselves on having a real culture here at Gear4music, we’re not an agency, we’re in-house and offer something that’s more than a token couple of beanbags and a PS4 you don’t have time to play. From important things like having a mental health first aider, silly things like our #toast Slack channel, the occasional #movienights to the D&D club we didn’t even know we had!
We’re techy to the core, with hands-on technical management through to board level. We pride ourselves on our flat structure where our directors sit in with the teams and are only a shoulder tap away when you need them. We encourage honest code review feedback, even if you’re critiquing your boss. We host regular knowledge-sharing lunches and have an active tech share channel for news, updates and all the latest releases
Who we’re not
We’re not the kind of people who’ll sell you a job based on gimmicks and recruiter-speak. We know you don’t want to hear how disruptive we are, how unique this opportunity is or how many boundaries we’re pushing.
We’re also not an agency. You’ll have a chance to do your best work here, in a team who recognise that quality matters. You won’t be asked to skip writing tests because the client hasn’t paid for it.
There is no need for you to bring your noise cancelling headphones to drown out the sound of the endless sales calls, because we have an open plan office where you’re only surrounded by like-minded developers.
We truly believe in a healthy work/life balance. Here, our flexible hours allow you to start at a time that suits you, and you’re more likely to be told to go home than to stay late. That means getting home in time to tuck the kids into bed at night or get to that gig you’ve been looking forward to for ages.
We might be a socially active bunch, but if something’s not your bag, there is no forced inclusion. So if those pints down the pub or board game themed socials don’t strike the right chord, you’ve got nothing to worry about.
What we do
Gear4music sell musical instruments and equipment online. Our range includes over 50,000 products from nearly 900 manufacturers. We sell to over 190 countries, across 20 multilingual websites, 9 different currencies, shipping with more than 15 couriers, from 3 hubs in the UK, Germany and Sweden.
Our in-house tech team build and support the completely custom-built platform we use to make all of that possible. The projects you’d work on might include new user-facing features on our website, tweaks to one of our batch order processing systems, a large-scale architecture rework or an integration with a new courier.
Who are you
You are a motivated, flexible and talented engineer who is excited about leading and developing others and enthusiastic about learning new things and challenging themselves. We have opportunities for developers at every level, from junior through to principal developers and technical architects.
You’re not a lone ranger but believe in a joined up and friendly work environment that delivers real projects. You’re someone who takes pride in the things you do and likes to see things from beginning to end. You love the attention to detail and might even say it could be a strength and a weakness. You will champion new technologies when it’s right for the business.
You’ll also need some personality. You’ll get bonus points if you’ve got strong GIF-game, and we’d love to know what you’re into (even if you’re really passionate about a specific brand of water.) We want to hear all your ideas and we want you to tell us what you think.
What we’re looking for
We want to work with like-minded people who set high standards for themselves and the work that they produce. We’d love it if you were passionate about continuous integration, profiling, unit testing or documentation (or all of the above.)
Some of the skills and experience we’re looking for include:
A solid understanding of object-oriented PHP, design patterns, etc.
Interface development with HTML5, SCSS, JavaScript (including frameworks like ReactJS, Bootstrap, jQuery, ExtJS).
Strong MySQL knowledge, working with large & complex schemas.
Production experience with Linux environments, and experience with cloud computing.
Experience building highly scalable and complex distributed systems.
A background in commercial development, most likely on E-Commerce or high volume transactional systems.
An interest in web software performance (from micro-optimisations in PHP code, MySQL schemas and queries through to progressive web.)
Knowledge of or experience with any or all of these technologies: Composer, ElasticSearch, Docker, Ansible, Github, Continuous Integration, PHPUnit, Kubernetes, GCP, xhprof.
Don’t worry if you can’t tick all of these boxes! If you did, you might be exaggerating. We’d like to hear from you if this sounds like the kind of tech stack you’re used to working with.
What we can give you
Other than the benefit of working with such a great bunch of people, we also really value your wellbeing and want to ensure you have a lifestyle that helps you get the best of your work and your free time. We work hard to make sure you have clear objectives and will tailor your progression plan with what youwant and not just what the business needs.
Great pay, which is never late.
A ‘go home’ culture where no one is expecting you to be still in the office past your working hours.
A personal career development plan and regular one to ones.
Twice yearly pay reviews that are not tied to the company’s performance or your current job title.
A Windows, Mac or Linux laptop, and we’ll buy your IDE of choice
Health Assured Employee Assistance Programme, helping you to manage personal issues at work and at home.
A great discount scheme.
A super generous employee referral scheme.
Flexible working hours and no dress code.
Company lunches and social events.
Plus all the usual things you’d expect:
Share grant scheme.
Employer pension scheme.
Eyecare vouchers.
Cycle to work scheme.
A great coffee machine and a regular supply of milk.
Benefits:
Flexible working hours
Company events & social hours
Company pension
Employee discounts
Profit sharing/share options
Casual dress
Job Types: Full-time, Permanent
Salary: £30,000.00 to £40,000.00 /year
Experience:
PHP: 1 year (Preferred)
MySQL: 1 year (Preferred)
Work remotely:
Temporarily due to COVID-19",0,1,1,0,0,0,0,0,0
61,76200.0,Software Engineer,Oscar Technology,Reading,"Initially fully remote working due to Gov guidelines
£55,000 - £65,000 per annum
Reading
Our client is a leading authority within the connectivity, Autonomous, shared and Electrification domain utilising their technology to investigate technologies that will (if successful) be rolled out across a wider group of companies.
Benefits:
Starting salary of £55,000 - £65,000 per annum (regular salary reviews)
Starting holiday 25 days +
Pension scheme up to 13%
Company car scheme
Private Medical
Dental Scheme
Unlimited learning and development opportunity
Exciting and challenging work
They are currently searching for a Software Engineer who has an in depth knowledge of designing, testing and deploying back end systems within AWS / Azure / Google Cloud environments. You will be working on bleeding edge technology such as data networks, PAAS and SAAS technologies within a completely greenfield environment for the companies research and design (R & D) team.
The role is suited to a Software Engineer who has a PaaS / SaaS background, who has the ability to code in one or more languages such as C#, C++, PHP, Java etc who is highly skilled within Azure, AWS / Amazon Web Services / Google Cloud Platform environments.
Key Skills:
AWS / Amazon Web Services / GCP / Google Cloud Platform / Azure
C++, C#, Java, PHP, Python
PaaS / SaaS
Experience working within research and design / R & D environments. Alternatively experience working on greenfield projects or in start-up environments would be advantageous.
API Development
Machine Learning / Data / AI / Artificial Intelligence
IoT Technology
This is an amazing opportunity to join a growing organisation who offer can offer the opportunity to work on cutting edge technology in a completely proof of concept environment, allowing you to trial new methods of working and giving you exposure to multiple new technologies.
If you are a Software Engineer with an in depth knowledge of Azure / AWS / Amazon Web Services / GCP / Google Cloud Platform, C++ / C# / Java / PHP / Python, SaaS / PaaS and experience working within a start up, on greenfield projects or in an R & D (research and design) environment please send your CV as soon as possible to avoid missing out.
Reading
£55,000 - £65,000 per annum
Initially fully remote working due to Gov guidelines
Software Engineer - Research & Design / R & D / Proof of Concept, AWS / Amazon Web Services / Azure / GCP / Google Cloud Platform, C# / Java / PHP / C++, PaaS / SaaS
Oscar Technology is acting as an Employment Agency in relation to this vacancy.",0,1,0,0,0,0,0,1,1
62,95250.0,"Software Developer / Engineer (Python, Medical Research, Data)",Understanding Recruitment,Cambridge,"We are currently looking for a Software Developer / Engineer (Python, Medical Research, Big Data) for an organisation that are using their algorithms to disrupt the healthcare and medical research industry, based in Cambridgeshire (Central Cambridge). With the help of their database and world-beating engine, they are committed to saving the lives of those suffering with serious and rare diseases.
As a Software Developer / Software Engineer, you will be part of an ambitious team who are working with mass, real-time scientific data. You will be using this data to understand, analyse and spot those who are either at risk of a disease that could be cured via. a lifestyle change or medicines. Alongside this, you will be finding out the current drug targets for these rare and/or life-threatening illnesses.
You will be actively working to save lives and use technology for a great cause. Essentially, what we are looking for is a passionate Developer, interested in healthcare and willing to transition to Python programming (or already be competent in Python). You will be working in various different projects, from Cloud, to Rust, to Machine Learning to Data Science.
What we can offer a Software Developer / Engineer (Python, Medical Research, Big Data):
Work for recognised leaders within the Medical Research indsustry
Vert strong salary and package
Remote and flexible working available a couple of days a week - trust in the individual
Work on problems that have never been addressed before
Key Skills: Software Developer / Engineer (Python, Medical Research, Big Data); Software Engineer, Software Developer, Programmer, Programming, Development, Engineering, Software, C++, Python, C, Go, Golang, Java, Rust, Drug Discovery, Drug Devlopment, Genomics, PhD, MSc, BA, BSc, Physics, Chemistry, Natural Sciences, Biology, Bioinformatics, AWS, Cloud, GCP",0,1,0,0,0,0,0,1,1
63,107950.0,Principal Software Engineer,Ampersand Consulting,Bristol,"Principal Software Engineer (Microservices, Java, C++, Python, GO, Cloud, AI/ML) - Bristol- up to £100k- Hiring Now!
Our client a disruptive start up in the AI/ML and big data space are looking to hire a Principal Software Engineer (Microservices, Java, C++, Python, GO, Cloud, AI/ML) to work on their flagship product across a growing portfolio of clients to help them analyse billions of data points daily.
The client have a small but growing team in Central London and Bristol with decades of experience applying Machine Learning and Artificial Intelligence in the real world.
Responsibilities:
Provide Technical leadership, mentoring and career growth to a growing team
Design and build the ecosystem of microservices and associated PAAS/IAAS systems into an end to end delivery system
Capable of working with both structured and unstructured data sets (NLP)
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Keep our data separated and secure
Requirements and Skills:
Proven experience having designed and built a microservice back ecosystem
Experience in writing software in one or more languages such as Java, C++, Python, GO, etc
Deep experience with Microservice design and implementation on the Cloud
Strong communication skills and ability to lead and push forward initiatives to create value for the business
Experience in microservices or modern web services architectures for back end web development
Demonstrable understanding of modern distributed systems architectures
Good working knowledge of Git Source Control, Docker, Kubernetes
Good understanding of CI/CD techniques
Experience with SQL & NoSQL databases (PostgreSQL, ElasticSearch, Neo4j)
Practical experience with Agile development and Peer Code Review
Experience of REST APIs
Experience with GraphQL
In return the client will offer a competitive salary, with 25 days holiday (+bank holidays) increasing by 1 a year to a maximum of 30 days, holiday purchase scheme, pension and equity packages
Principal Software Engineer (Microservices, Java, C++, Python, GO, Cloud, AI/ML) - Bristol- up to £100k- Hiring Now!",0,1,1,0,0,0,1,1,1
64,44450.0,Graduate C++ Software Engineer / Developer,RedTech Recruitment,Cambridge,"A fantastic opportunity for a Graduate C++ Software Engineer / Developer to work on cutting-edge machine-learning software! Still hiring, interviewing and onboarding remotely!!
The company:
This is one of Cambridge's most successful start-ups in recent years, having won numerous awards, this incredible company are already well positioned on the international stage as one of the leaders within this pioneering area of technology.
Offering excellent training, career progression and prospects, this is an ideal time to join and be guided by some of the brightest minds in Cambridge.
Location: Initially remote, then Cambridge, UK (after lockdown) - please only apply if you can work in Cambridge, UK.
Salary: £30k bachelors, £33k masters, £40k Ph.D. + excellent benefits including private health cover and pension
Requirements for Graduate C++ Software Engineer / Developer :
· A minimum of a 2.1 bachelors from an internationally renowned University in a relevant subject relating to Computer Science
· At least AAB at A-Level (or international equivalent)
· Experience in writing C++ code
· Ability to quickly pick up new technologies
· Hard-working
· Innovative
· Good communication skills
Graduate C++ Software Engineer / Developer Responsibilities:
This is a fast-paced and exciting role, dealing with an array of problems presented by the modern-age era of technology.
You will be predominantly developing server software written in C++ to expand and improve the current platform's capabilities.
Applications for Graduate C++ Software Engineer / Developer
If you would like to apply for this unique Graduate opportunity, please send an up-to-date CV via the relevant link.
Keywords – BSc / MSc / BA / MA / Computer Science / Mathematics / Natural Sciences / Engineering / Physics / Astrophysics / Software Engineering / C++ / C# / Java / Python / MATLAB / Linux / Graduate / Doctorate / Ph.D. / Machine Learning / Artificial Intelligence / Programming / Coder
*********************************************************************************
RedTech Recruitment Ltd focus solely on finding roles for people leaving academia entering industry. Even if the above role isn’t of interest, please contact us to see our other opportunities. We are trained in supporting people through the transitional period from academia – industry.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Reference ID: GRADC++
Job Types: Full-time, Permanent
Salary: £30,000.00 to £40,000.00 /year
Work remotely:
Temporarily due to COVID-19",0,1,0,0,1,0,0,1,1
65,101600.0,Lead Machine Learning Engineer – London,kdr Recruitment,London,"Analytics, Artificial Intelligence & Machine Learning
London, UK
Permanent
£70,000 - £90,000 per annum
906
Lead Machine Learning Engineer | London | £70,000 – £90,000 per year
Want to work with a revolutionary technology company as Lead Machine Learning Engineer? These guys change lives in ways you’d never expect through the delivery of leading edge Machine Learning, Artificial Intelligence and Data Science Solutions.
You’d join an established data science / AI function as a Lead Machine Learning Engineer taking on project delivery responsibility and managing other ML Engineers. You’ll tackle real world problems and deliver actual solutions that genuinely impact peoples lives.
You’ll need…
Strong Data and Machine Learning Engineering background – you will have developed production Machine Learning and AI solutions
Technical skills in Python, Machine learning libraries like TensorFlow and cloud services in AWS and Azure
Strong problem solving skills
Relevant STEM Degree and preferably post-graduate degree
Lead / management experience – you will have managed small teams and/or projects
You’ll want..
to be thrown into innovative technology projects
want to make a difference and deliver tangible benefits to customers and the wider population
want to seriously challenge you problem solving, leadership and technical skills
This company are fantastic you’ll work on variety of technologies and infrastructure applying your machine learning engineering skillset. They give you a healthy training budget so you’ll continually develop your skills and keep up to date in the latest tech whilst working on some of the UK’s most exciting projects!
KDR has been selected by this company to provide them with the very best data, technology and analytics professionals. Lets talk so I can tell you more, get in touch click apply now for the role of Lead Machine Learning Engineer.",0,0,0,0,0,1,0,1,0
